web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date
"1697039850-255","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2010-occasion-10748731","AUDI A3 Sportback 2.0 TDI Attraction quattro","","CHF 9'999.–","07.2010","Limousine","195'200 km","Diesel","Boîte manuelle","170 PS (125 kW)","4 roues motrices","5.2 l/100 km","Oui","17.05.2022","Non","Non","","Fonderie de moudon place de la gare 19, 1510 Moudon","Listing ID: 10748731","","2023-08-06"
"1697039859-256","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2014-occasion-10857694","AUDI A3 Sportback 1.4 TFSI Ambiente","2Hand / AMFK & Service / Service gepflegt / Parkhilfe / Tempomate / Navi / Telefon / Parkhilfe / Bi Xenon","CHF 9'999.–","05.2014","Limousine","156'100 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","4.7 l/100 km","Oui","","Non","Oui","À partir de la livraison du véhicule, 12 mois ou 20'000 km","Hombergstrasse 51c, 3612 Steffisburg","Listing ID: 10857694","-- HERZLICH WILLKOMMEN BEI DER DHM AUTO GMBH

-- Ihr Interesse an diesem Fahrzeug freut uns sehr!


-- Höflich bitten wir Sie für eine Besichtigung vorab einen Termin zu vereinbaren.
-- Gerne tauschen wir Ihr Fahrzeug ein. Sie können uns gerne kontaktieren und uns die Angaben von Ihrem Fahrzeug zukommen lassen.

-- Auf Wunsch mit 12/24 Monate Garantie möglich!!
-- Eintausch**Finanzierung oder Garantie möglich!!
-- Inzahlungnahme Ihres Fahrzeuges auch ohne Fahrzeugkauf möglich!!

-- Trotz der großen Sorgfalt sind Inserats Fehler nicht ausgeschlossen.
-- Irrtümer und Zwischenverkauf vorbehalten, Keine Gewähr für Ausstattungsdetails.

-- Wir freuen uns über Ihren Besuch oder Anruf.

-- Ihre DHM Auto GmbH","2023-09-14"
"1697039866-257","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2010-occasion-10536374","AUDI A3 Sportback 1.2 TFSI Ambiente S-tronic","TOP-ZUSTAND AB:MFK UND SERVICE (FRISCH),KLIMAAUTOMATICK,TEMPOMAT,USB,AUX ANSCHLUSS,...","CHF 10'000.–","12.2010","Limousine","119'000 km","Essence","Boîte manuelle automatisée","105 PS (77 kW)","Traction avant","5.3 l/100 km","Oui","30.10.2023","Non","Oui","À partir de la livraison du véhicule, 12 mois ou 20'000 km","Hauptstrasse 75, 8362 Balterswil","Listing ID: 10536374","TOP-ZUSTAND AB:MFK UND SERVICE FRISCH,KLIMAAUTOMATICK,TEMPOMAT,....FINANZIERUNG MÖGLICH","2023-05-18"
"1697039873-258","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2008-occasion-10523150","AUDI A3 Sportback 1.8 TFSI Ambiente S-tronic","Auto ist frisch ab MFK","CHF 10'100.–","10.2008","Limousine","123'100 km","Essence","Boîte manuelle automatisée","160 PS (118 kW)","Traction avant","6.7 l/100 km","Oui","08.05.2023","Non","Non","","Industriestrasse 18, 8424 Embrach","Listing ID: 10523150","","2023-05-13"
"1697039880-259","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2013-occasion-10801383","AUDI A3 Sportback 1.4 TFSI Ambition","Im Auftrag zu verkaufen 8 Fachbereift","CHF 10'500.–","08.2013","Limousine","145'000 km","Essence","Boîte manuelle","122 PS (90 kW)","Traction avant","5.3 l/100 km","Non","","Non","Non","","Dorfstrasse 12, 8306 Brüttisellen","Listing ID: 10801383","","2023-08-25"
"1697039887-260","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2014-occasion-10872381","AUDI A3 Sportback 1.6 TDI Ambition","Finanzierung möglich.","CHF 10'500.–","04.2014","Limousine","129'900 km","Diesel","Boîte manuelle","110 PS (81 kW)","Traction avant","4 l/100 km","Oui","04.01.2021","Non","Non","","Surhardweg 14, 5102 Rupperswil","Listing ID: 10872381","Gut Zustand, Service gepflegt, Eintausch möglich, Garantie 12 Monate 500 CHF., aufpreis, Finanzierung ab 300 CHF., Pro Monat möglich, Kann auf wunsch frisch ab MFK., gemacht werden.","2023-09-20"
"1697039894-261","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-cabriolet-2009-occasion-10882031","AUDI A3 Cabriolet 1.8 TFSI Ambition","","CHF 10'500.–","01.2009","Cabriolet","126'000 km","Essence","Boîte manuelle","160 PS (118 kW)","Traction avant","6.7 l/100 km","Non","16.03.2023","Non","Non","","Spittelstrasse 8b, 5632 Buttwil","Listing ID: 10882031","","2023-09-23"
"1697039901-262","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2012-occasion-10823527","AUDI A3 Sportback 2.0 TDI Ambiente quattro","","CHF 10'500.–","12.2012","Limousine","189'000 km","Diesel","Boîte manuelle","140 PS (103 kW)","4 roues motrices","5 l/100 km","Oui","22.08.2023","Non","Non","","Hostigstrasse 2, 8132 Hinteregg","Listing ID: 10823527","- Frisch ab MFK
- Neuer Partikelfilter
- Alle Service wurden bei einem Audivertretter durchgeführt
- Wurde immer top geplegt","2023-09-03"
"1697039908-263","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2013-occasion-9999078","AUDI A3 1.4 TFSI Ambition","***Top Zustand***Neu ab MFK*8fach bereift mit Alufelgen***","CHF 10'700.–","01.2013","Limousine","106'000 km","Essence","Boîte manuelle","122 PS (90 kW)","Traction avant","5.2 l/100 km","Oui","","Non","Oui","À partir de la livraison du véhicule, 12 mois ou 20'000 km","Industriestrasse 2, 8903 Birmensdorf ZH","Listing ID: 9999078","12/24 Monate Garantie optional","2022-11-14"
"1697039915-264","https://www.autoscout24.ch/fr/voitures/audi--a3?cond=49&make=5&model=37&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2011-occasion-10912909","AUDI A3 Sportback 2.0 TFSI Ambiente quattro S-tronic","Neu ab Service neu ab Mfk","CHF 10'700.–","11.2011","Limousine","180'000 km","Essence","Boîte manuelle automatisée","200 PS (147 kW)","4 roues motrices","7.6 l/100 km","Oui","03.10.2023","Non","Non","","Schrotmättli 4, 6014 Luzern","Listing ID: 10912909","Adresse—Thorenbergstr. Str 12.  6014 Luzern","2023-10-04"
