"annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","created.date","new.price","description.text","defective","vehicle.age","listing.age"
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2020-occasion-10973805","VOLVO XC60 2.0 B4 MH R-Design AWD","",28710,2020-01-01,"SUV / Tout-terrain",196300,"Hybride léger diesel/électrique","Automatique",211,"4 roues motrices",7.2,TRUE,2023-10-31,FALSE,FALSE,"12 mois ou 20'000 km","Luzernerstrasse 49, 4800 Zofingen",10973805,2023-10-26,74205,"Frisch ab MFK",FALSE,1400,6
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2018-occasion-10013517","VOLVO XC60 D5 AWD Inscription Geartronic","",28900,2018-06-01,"SUV / Tout-terrain",201000,"Diesel","Automatique",235,"4 roues motrices",8,TRUE,2018-06-07,FALSE,FALSE,"","Bois de Beaulieu, 1182 Gilly",10013517,2022-11-15,92000,"Véhicule en très bon état , un seul propiétaire non fumeur pas d'animaux , suivi des services chez Volvo freins AV,AR neufs courroie distribution ,Expertise du jour !",FALSE,1979,351
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2017-occasion-10593270","VOLVO XC60 D5 AWD Momentum R","",28900,2017-02-01,"SUV / Tout-terrain",105000,"Diesel","Automatique",220,"4 roues motrices",NA,FALSE,NA,FALSE,TRUE,"À partir de la livraison du véhicule, 12 mois ou 20'000 km","Avenue de Grandson 39, 1400 Yverdon les Bains",10593270,2023-06-08,NA,"12 Mois, ou max. 20'000 km Franchise de 500.- par cas
              
              Roues Hiver, Barre de toit",FALSE,2464,146
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2017-occasion-10825271","VOLVO XC60 D5 AWD Summum Geartronic","Versatility Pack,Light Pack,Business Connect pro Pack,Family Pack,Winter Pack,Rückfahrkamera,DAB+ (Digital Audio Broadcasting",28900,2017-04-01,"SUV / Tout-terrain",49950,"Diesel","Automatique",220,"4 roues motrices",5.7,FALSE,2021-07-05,FALSE,TRUE,"À partir de la livraison du véhicule, 12 mois ou 20'000 km","Riedmattstrasse 8, 8153 Rümlang-Zürich",10825271,2023-09-04,NA,"Wir sind sehr gut Beraten worden von Enes. Er hat uns über alle informationen ...",FALSE,2405,58
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2017-occasion-10549933","VOLVO XC60 D4 AWD Inscription Geartronic","Vollausstattung, Herstellergarantie bis 10.11.2024, Gratisservice 10 Jahre oder 150'000 km",28900,2017-11-01,"SUV / Tout-terrain",101000,"Diesel","Automatique",190,"4 roues motrices",5.2,TRUE,2017-11-01,FALSE,TRUE,"Dès la 1ère mise en circulation, 84 mois ou 150'000 km","Grünaustrasse 38, 8820 Wädenswil",10549933,2023-05-24,82600,"-4 Winterräder 19 Zoll Aluminium
-4 Sommerräder 19 Zoll Aluminium",FALSE,2191,161
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2018-occasion-10908179","VOLVO XC60 D4 AWD Inscription Geartronic","",28900,2018-02-01,"SUV / Tout-terrain",128500,"Diesel","Automatique",190,"4 roues motrices",7.7,TRUE,NA,FALSE,FALSE,"","Unterdorfstrasse, Tor 3, 8452 Adlikon b.Andelfingen",10908179,2023-10-02,61450,"Dieser wunderschöne Volvo XC60 ist in einem super Zustand.
Der Volvo war ein Direktionswagen und wird im Auftrag durch uns verkauft.",FALSE,2099,30
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2019-occasion-10718069","VOLVO XC60 D4 Momentum Geartronic","Sehr gepflegter Volvo XC60 aus 1.Hand Service gepflegt frisch ab MFK sowie 12.Monate Garantie",28900,2019-05-01,"SUV / Tout-terrain",154930,"Diesel","Automatique",190,"Traction avant",6.7,TRUE,2019-12-12,FALSE,TRUE,"À partir de la livraison du véhicule, 12 mois ou 20'000 km","Steinackerstrasse 19, 8302 Kloten",10718069,2023-07-22,NA,"Willkommen bei Auto Macchi GmbH

Wir verkaufen gepflegte Occasion Fahrzeuge

Wir verkaufen ihnen das gewünschte Fahrzeug gerne frisch ab MFK (aufpreispflichtig)

Gerne bitten wir Ihnen auch zusätzlich bei Fahrzeugen bis 14 Jahren oder bis max. 200'000 km eine Garantie an.

Wir bitten sie vor jeder Besichtigung vorher anzurufen, damit auch das gewünschte Fahrzeug vor Ort steht.

Eintausch Fahrzeuge sind von A bis Z willkommen.

Wir sprechen Deutsch und Englisch",FALSE,1645,102
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2019-occasion-10842006","VOLVO XC60 D4 AWD Momentum","SERVICE GRATUIT 150'000 OU 10 ANSAvec crochet d’attelage !",28900,2019-01-01,"SUV / Tout-terrain",65000,"Diesel","Boîte manuelle",190,"4 roues motrices",7.2,TRUE,NA,FALSE,TRUE,"À partir de la livraison du véhicule, 12 mois ou 20'000 km","Route de Genolier 11, 1266 Duillier",10842006,2023-09-09,NA,"Bienvenue au Centre Automobile des Marais SA, où nous mettons tout en œuvre pour que votre expérience d'achat automobile soit exceptionnelle. Notre équipe jeune et dynamique est toujours prête pour vous offrir un service personnalisé et exclusif.

Planifiez une visite dès maintenant pour essayer votre prochain véhicule de rêves. Avec notre expertise pointue en vente automobile, nous sommes là pour répondre à vos besoins et vous aider à trouver la voiture qui correspond parfaitement à vos attentes.

Nous proposons des solutions de financement adaptées à vos besoins, garantissant ainsi que vous trouviez le véhicule idéal.

Wir Sprechen DEUTSCH, nous parlons FRANCAIS, we speak ENGLISH, hablamos ESPANOL, parliamo ITALIANO

Contact Direct : Avni Rrahmani au +41 78/843.20.47",FALSE,1765,53
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2016-occasion-10714630","VOLVO XC60 2.4 D5 Summum AWD S/S","",28908,2016-06-01,"SUV / Tout-terrain",85300,"Diesel","Automatique",220,"4 roues motrices",5.7,TRUE,NA,FALSE,TRUE,"À partir de la livraison du véhicule, 12 mois ou 180'000 km","Aesplistrasse 1, 4562 Biberist",10714630,2023-07-20,75805,"Verkaufspreis exkl. ablieferungspauschale Fr. 490.-",FALSE,2709,104
"https://www.autoscout24.ch/fr/d/volvo-xc60-suvtout-terrain-2017-occasion-10888793","VOLVO XC60 2.4 D4 Kinetic AWD S/S","",28990,2017-01-01,"SUV / Tout-terrain",82900,"Diesel","Automatique",190,"4 roues motrices",5.7,FALSE,NA,FALSE,FALSE,"","Hofmatt 163, 1715 Alterswil",10888793,2023-09-26,52900,"🕊👍bi sit 1988 chund hei o div neuwage kouft🤝immer mit chundegfreuti agebot ...",FALSE,2495,36
