"","annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","created.date","new.price","description.text","defective","vehicle.age","listing.age","vehicle.age.squared","kilometers.squared","cabriolet","suv","sedan","diesel","hybrid","natural.gas","manual","awd"
"12","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10750685","SKODA Octavia 2.0 TFSI RS","Auto technisch gut und läuft einwandfrei",1500,"2006-05-01","Break",236000,"Essence","Boîte manuelle",200,"Traction avant",7.9,FALSE,"2021-11-10",FALSE,FALSE,"","Edlibachstrasse 4, 6345 Neuheim",10750685,"2023-08-07",NA,"Auto technisch gut und läuft einwandfrei 
Karosserie ist nicht mehr so schön
Winterreifen noch gut, Sommerreifen auf Alufelgen im Kofferraum sind zu ersetzten

Auto Wird ab Platz Verkauft",FALSE,6383,76,40742689,5.5696e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"13","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2003-occasion-10625442","SKODA Octavia 1.9 TDI Ambiente 4x4","Roule bien.",1500,"2003-07-01","Break",250000,"Diesel","Boîte manuelle",101,"4 roues motrices",6.3,FALSE,"2021-05-17",FALSE,FALSE,"","Zone industrielle C 69, 1844 Villeneuve",10625442,"2023-06-19",NA,"",FALSE,7418,125,55026724,6.25e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"14","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10961946","SKODA Octavia 1.9 TDI Tour 4x4","",1500,"2006-09-01","Break",226000,"Diesel","Boîte manuelle",101,"4 roues motrices",6.3,FALSE,"2020-11-12",FALSE,FALSE,"","Märkiweg 3, 5502 Hunzenschwil",10961946,"2023-10-21",NA,"",FALSE,6260,1,39187600,5.1076e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"15","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-10946707","SKODA Octavia 2.0 TFSI RS","",1500,"2007-03-01","Break",282000,"Essence","Boîte manuelle",200,"Traction avant",7.9,FALSE,NA,FALSE,FALSE,"","Rue du Moulin 71, 3977 Granges vs",10946707,"2023-10-16",NA,"",FALSE,6079,6,36954241,7.9524e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"16","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2002-occasion-10961106","SKODA Octavia 1.8 Turbo Elegance","Technisch einwandfrei/ braucht neue Winterreifen/ Automatikgetriebe /letzte MFK Februar 2022 /Neue Batterie mit Garantie",1500,"2002-06-01","Break",216000,"Essence","Boîte manuelle",150,"Traction avant",8,FALSE,"2022-02-18",FALSE,FALSE,"","9100 Herisau",10961106,"2023-10-21",NA,"",FALSE,7813,1,61042969,4.6656e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"17","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10735994","SKODA Octavia 2.0 TFSI RS","",1600,"2006-07-01","Break",266368,"Essence","Boîte manuelle",200,"Traction avant",7.9,FALSE,"2022-11-03",FALSE,FALSE,"","Hauptstraße 1, 2577 Finsterhennen",10735994,"2023-07-30",NA,"Das Bremspedal ist hart. Wahrscheinlich Undichtigkeit bei der Unterdruckversorgung. Das Auto hat ein Ölverlust, Grund ISR unbekannt. 
Motor läuft ruhig und das Getriebe schaltet gut. 
Letzte MFK 03.11.2022",FALSE,6322,84,39967684,70951911424,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"18","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2004-occasion-10930331","SKODA Octavia 1.9 TDI Ambiente 4x4","",1650,"2004-08-01","Break",275630,"Diesel","Boîte manuelle",101,"4 roues motrices",6.3,FALSE,"2020-07-08",FALSE,FALSE,"","Bodackerstrasse 14, 8953 Dietikon",10930331,"2023-10-10",NA,"I'm Auftrag",FALSE,7021,12,49294441,75971896900,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"19","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10137081","SKODA Octavia 1.9 TDI Adventure 4x4","",1700,"2006-05-01","Break",180000,"Diesel","Boîte manuelle",105,"4 roues motrices",6,FALSE,"2019-08-30",FALSE,FALSE,"","1950 Sion",10137081,"2022-12-30",NA,"Direction dure !!!!!
Grêle",FALSE,6383,296,40742689,3.24e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"20","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-10945249","SKODA Octavia 2.0 TDI RS","Merci de me contacter sur ce numéro là svp 0779611015",1800,"2007-01-01","Break",305000,"Diesel","Boîte manuelle",170,"Traction avant",5.8,FALSE,NA,FALSE,FALSE,"","1030 Bussigny",10945249,"2023-10-15",NA,"Merci de me contacter sur ce numéro là svp 0779611015",FALSE,6138,7,37675044,9.3025e+10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"21","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10532810","SKODA Octavia 2.0 FSI Ambiente","",1900,"2006-01-01","Break",313000,"Essence","Automatique",150,"Traction avant",8.4,FALSE,"2021-01-07",FALSE,FALSE,"","Bernstrasse 242,, 4852 Rothrist ( AG )",10532810,"2023-05-17",NA,"",FALSE,6503,158,42289009,9.7969e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
