"","annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","description.text","created.date","new.price","defective","vehicle.age","listing.age","vehicle.age.squared","kilometers.squared","sedan","coupe","diesel","hybrid","manual","awd","price.residuals","pred.price"
"166","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2011-occasion-10882548","TOYOTA Yaris 1.33 Linea Luna","!Top Zustand! frisch ab MFK, 8 Fach Bereift. Garantie 12 Mt. & CHF 300.00",7300,"2012-03-01","Petite voiture",81300,"Essence","Boîte manuelle",99,"Traction avant",5.2,TRUE,NA,FALSE,TRUE,"À partir de la livraison du véhicule, 12 mois ou 20'000 km","Bodenackerstrasse 39, 4657 Dulliken",10882548,"","2023-09-23",NA,FALSE,4246,23,18028516,6609690000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1153.85361250137,8453.85361250137
"167","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2011-occasion-10925758","TOYOTA Yaris 1.33 Linea Luna Multimode","",7450,"2011-02-01","Petite voiture",83000,"Essence","Automatique",99,"Traction avant",5.2,TRUE,NA,FALSE,FALSE,"","Route de Genève 58, 1028 Prévérenges",10925758,"Voiture en très bon état 
Boîte à vitesse automatique 
Expertisée du jour","2023-10-08",NA,FALSE,4640,8,21529600,6.889e+09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2726.89036639595,10176.890366396
"168","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2009-occasion-10330631","TOYOTA Yaris 1.8 TS","215 CV.",7500,"2009-06-01","Petite voiture",175000,"Essence","Boîte manuelle",215,"Traction avant",7,TRUE,"2022-01-20",FALSE,TRUE,"À partir de la livraison du véhicule, 3 mois ou 3'000 km","ZI Reuteut 49, 1868 Collombey",10330631,"Même en n'ayant pas acheté de voiture, le vendeur est très professionnel et de ...","2023-03-09",NA,FALSE,5250,221,27562500,3.0625e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-3224.14259696957,10724.1425969696
"169","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2016-occasion-10738455","TOYOTA Yaris 1.0 Terra","",7500,"2016-08-01","Petite voiture",94000,"Essence","Boîte manuelle",69,"Traction avant",4.3,TRUE,"2022-05-18",FALSE,FALSE,"","Binningerstrasse 112, 4123 Allschwil",10738455,"Super Freundlich. Sehr organisiert und flexibel. Top Weiter so! Kann ich nur ...","2023-08-01",NA,FALSE,2632,76,6927424,8.836e+09,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1835.86248208366,9335.86248208366
"170","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2003-occasion-10917823","TOYOTA Yaris 1.5 TS Turbo","Limited Edition mit revidiertem Turbo, Inoxcar Racing Endschalldämpfer, Eibach Federn und DAB+ Radio.",7500,"2003-08-01","Petite voiture",150000,"Essence","Boîte manuelle",150,"Traction avant",6.9,TRUE,"2023-01-12",FALSE,FALSE,"","Sägeweg 10, 3360 Herzogenbuchsee",10917823,"Ich verkaufe mein gepflegter Toyota Yaris 1.5 TS Turbo Limited Edition. Das Fahrzeug hat ein lückenfreies Serviceheft und weist keine technischen Mängel auf.

Der Turbo wurde bei 110'000km revidiert und läuft einwandfrei. Es wurde ein Inoxcar Racing Endschalldempfer inkl. Gutachten montiert und Fahrwerksfedern der Marke Eibach 40mm sind geprüft und im Ausweis eingetragen.

Der Yaris ist 8-Fach bereift, letzter Service wurde im Mai 2023 bei 146'000 km gemacht, MFK wurde im Januar 2023 erneuert.

Das Fahrzeug weist dem alter entsprechende Gebrauchsspuren auf, diese wurden aber alle behandelt oder ausgebessert.

Der Yaris wird täglich gefahren, eine Probefahrt kann auf Anfrage durchgeführt werden.

Das Fahrzeug wird ohne Garantie und ab Platz verkauft.","2023-10-05",NA,FALSE,7381,11,54479161,2.25e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,951.746310441045,6548.25368955895
"171","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2006-occasion-10723191","TOYOTA Yaris 1.3 Linea Luna","[ Ab MFK & Service ] -**- [ inkl. 12 Monate Garantie ] -**- [ Leasing & Kredit ] -**- [ Autoversicherung inkl. Anmeldung ]",7590,"2006-12-01","Petite voiture",92000,"Essence","Automatique",87,"Traction avant",6,TRUE,"2023-05-10",FALSE,TRUE,"À partir de la livraison du véhicule, 12 mois ou 20'000 km","Breitenweg 4, 6370 Stans",10723191,"Willkommen bei ZK Automobile AG Zentrum Stans-Süd

Danke für den Besuch, und Ihr Interesse an unserem Fahrzeug 

° Ein schöner, gepflegter Toyota Yaris 1.3 aus 1. Hand
° Ab Service & MFK
° 8-fach bereift mit Felgen

Keine Besichtigungen ohne Telefonische Voranmeldung möglich

Unter (Ausstattung) finden sie:
•	Die Serienmässige Ausstattung
•	Die Optionale Ausstattung 
Um die Ausstattungsliste zu sehen, bitte klicken sie auf Alle anzeigen >   
Hinweis: Die effektive Ausstattung kann von der publizierten Ausstattung abweichen 

Leasing und Finanzierung 
Wir beraten Sie in Zusammenarbeit mit
* Cembra Money Bank AG
* LeasForce 

Garantie
* Quality 1
* CarGarantie
* SuisseFox


Haben wir Ihr Interesse geweckt?
Möchten Sie Informationen zu diesem Fahrzeug
oder wünschen Sie eine Besichtigung oder Probefahrt?
Sie erreichen uns telefonisch oder per E-Mail


Folgendes bieten wir an: 

* Reparaturen und Servicearbeiten rund ums Auto
* Aufbereitung von Fahrzeugen
* Tuning von Fahrzeugen, Software-Optimierungen 
* Eintausch von Fahrzeugen  
* Leasing und Finanzierungsberatung
* Beschaffung von Neuwagen In- und Ausland
* Verschiedene Garantieleistungen für Ihr Auto
* Wir organisieren den Hol- und Bringservice
* Wir beraten Sie bei der Autoversicherung
* Strassenverkehrsamt - wir regeln alles für Sie
* im Auftrag suchen wir das richtige Auto für Sie
- und vieles mehr…

Wünschen Sie Informationen zu unserem Service?
Gerne erwarten wir Ihre Kontaktaufnahme 



ZK Automobile AG
Breitenweg 4
6370 Stans
Verkauf: 041 541 52 07
Garage:  041 610 51 87
www.zk-automobile-ag.ch","2023-07-25",34210,FALSE,6163,83,37982569,8.464e+09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-66.0099119772256,7656.00991197723
"172","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2011-occasion-10934260","TOYOTA Yaris 1.33 Linea Luna","",7700,"2011-09-01","Petite voiture",83500,"Essence","Boîte manuelle",99,"Traction avant",5.2,TRUE,"2023-10-02",FALSE,FALSE,"","Schaffhauserstrasse 15, 8525 Niederneunforn",10934260,"4 Winterrad, frisch ab Service","2023-10-11",NA,FALSE,4428,5,19607184,6972250000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-387.76286404682,8087.76286404682
"173","https://www.autoscout24.ch/fr/d/toyota-yaris-limousine-2010-occasion-10923140","TOYOTA YARIS 1.33 Linea Luna","8 Fachbereift, ab MFK, ab Service, Klima",7800,"2010-11-01","Limousine",157635,"Essence","Boîte manuelle",99,"Traction avant",5.2,TRUE,NA,FALSE,FALSE,"","Grava da Schmuèr sut 2, 7156 Rueun / Graubünden",10923140,"Ablieferungspauschale 450.- sfr , Auf Wunsch gegen Aufpreis, liefern wir Ihnen Ihren neuen Wagen direkt zu Ihnen nach Hause","2023-10-07",24210,FALSE,4732,9,22391824,24848793225,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2639.32845588103,5160.67154411897
"174","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2013-occasion-10621602","TOYOTA Yaris 1.33 Trend","",7800,"2013-08-01","Petite voiture",181300,"Essence","Boîte manuelle",99,"Traction avant",5.5,TRUE,NA,FALSE,TRUE,"À partir de la livraison du véhicule, 6 mois ou 5'000 km","Hauptstrasse 20, 3475 Riedtwil",10621602,"Eine Vorzeige-Betrieb! Wir sind begeistert wie zuvorkommend, freundlich, hilfsbereit ...","2023-06-17",NA,FALSE,3728,121,13897984,32869690000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1604.91662021109,6195.08337978891
"175","https://www.autoscout24.ch/fr/d/toyota-yaris-petite-voiture-2011-occasion-10943412","TOYOTA Yaris 1.33 Linea Sol","",7900,"2011-06-01","Petite voiture",118000,"Essence","Boîte manuelle",99,"Traction avant",5.2,TRUE,"2023-05-10",FALSE,FALSE,"","Route du Léman 33, 1907 Saxon",10943412,"Rien à redire! Ils sont honnêtes, serviables, font les choses bien, ce sont des ...","2023-10-14",NA,FALSE,4520,2,20430400,1.3924e+10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1283.99125407744,6616.00874592256
