"","annonce.link.href","title","subtitle","price","date","body.type","kilometers","fuel.type","transmission","power","drivetrain","consumption","expertise","expertise.date","accident","warranty","warranty.details","location","listing.id","created.date","new.price","description.text","defective","vehicle.age","listing.age","vehicle.age.squared","kilometers.squared","wagon","cabriolet","small.car","coupe","diesel","hybrid","natural.gas","electric","manual","awd","price.residuals","pred.price"
"11","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2004-occasion-10603314","AUDI A3 Sportback 2.0 Turbo FSI Ambition quattro","",1500,"2004-10-01","Limousine",248905,"Essence","Boîte manuelle",200,"4 roues motrices",9,FALSE,NA,FALSE,FALSE,"","Bielstrasse 49, 3900 Gamsen",10603314,"2023-06-12",NA,"",FALSE,6969,141,48566961,61953699025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-2675.21096139597,4175.21096139597
"12","https://www.autoscout24.ch/fr/d/audi-a3-limousine-1999-occasion-10819172","AUDI A3 1.8 T Ambiente","Automat, Leder,AC",1500,"1999-07-01","Limousine",185000,"Essence","Automatique",150,"Traction avant",9.1,FALSE,"2021-07-16",FALSE,FALSE,"","Dorfstrasse 30, 5624 Bünzen",10819172,"2023-09-01",NA,"Das Auto ist in einem gutem Zustand. Service gepflegt.",FALSE,8888,60,78996544,3.4225e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2549.30767267674,4049.30767267674
"13","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10832673","AUDI A3 Sportback 2.0 FSI Ambiente","",1600,"2005-10-01","Limousine",230000,"Essence","Boîte manuelle",150,"Traction avant",7.6,FALSE,"2020-01-07",FALSE,FALSE,"","Chemin du Vuasset 3, 1028 Préverenges",10832673,"2023-09-06",NA,"Crémaillère a changer",FALSE,6604,55,43612816,5.29e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,368.449682989397,1231.5503170106
"14","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10976110","AUDI A3 Sportback 2.0 FSI Ambiente","Noch mit Mfk bis mindestens Ende März-2025Automatische Getriebe ist nicht gut",1700,"2006-04-01","Limousine",167000,"Essence","Automatique",150,"Traction avant",8.2,FALSE,"2023-01-03",FALSE,FALSE,"","8134 Adliswil",10976110,"2023-10-26",NA,"Das Auto steht in der Stadt Langnau am Albis (8135)

Mechanische  das Auto ist Fahrbar, aber der automatische Getriebe ist nicht 100% gut.

Der Interieurs ist gut 

Die Carrassorie ist Schön, ausser paar kleine Gebraucht spüren 

Stahlfelgen mit Winterreifen",FALSE,6422,5,41242084,2.7889e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2440.89908531746,4140.89908531746
"15","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2005-occasion-10735072","AUDI A3 2.0 FSI Ambition","Roule bien, moteur tremble au démarrage, expertise à prévoir, B04.",1900,"2005-09-01","Limousine",222000,"Essence","Automatique",150,"Traction avant",8.2,FALSE,"2019-06-17",FALSE,FALSE,"","Rue de Plaisance 10, 1227 Carouge",10735072,"2023-07-29",NA,"",FALSE,6634,94,44009956,4.9284e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-827.594004249331,2727.59400424933
"16","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2000-occasion-10982683","AUDI A3 1.8 Ambition","ABS Bremsen nicht gut",1900,"2000-11-01","Limousine",144900,"Essence","Boîte manuelle",125,"Traction avant",8,FALSE,"2019-10-10",FALSE,FALSE,"","Zugerstrasse 40, 6403 Küssnacht am Rigi",10982683,"2023-10-30",NA,"Sehr Guter service , Verkäufer sehr Ehrlich. Hat mir ein Auto abgekauft, ist ...",FALSE,8399,1,70543201,20996010000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-906.134078460768,2806.13407846077
"17","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-9781172","AUDI A3 Sportback 1.6 FSI Attraction","",1999,"2006-12-01","Limousine",270000,"Essence","Boîte manuelle",115,"Traction avant",6.8,FALSE,NA,FALSE,FALSE,"","Hauptstrasse 13, 8583 Sulgen",9781172,"2022-11-14",NA,"",FALSE,6178,351,38167684,7.29e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1275.36517871915,723.63482128085
"18","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2006-occasion-10196764","AUDI A3 Sportback 2.0 Turbo FSI Attraction","",1999,"2006-02-01","Limousine",156177,"Essence","Boîte manuelle",200,"Traction avant",7.9,FALSE,"2020-08-24",FALSE,FALSE,"","Bielstrasse 49, 3900 Gamsen",10196764,"2023-01-24",NA,"Getriebe schaltet nicht 
Fix preis",FALSE,6481,280,42003361,24391255329,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-2381.64682368837,4380.64682368837
"19","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2003-occasion-10982079","AUDI A3 1.8 T Attraction","",1999,"2003-02-01","Limousine",2e+05,"Essence","Automatique",180,"Traction avant",9.1,FALSE,"2023-01-31",FALSE,FALSE,"","Schermenweg 179, 3072 Ostermundigen",10982079,"2023-10-29",NA,"Ab MFK 1-2023",FALSE,7577,2,57410929,4e+10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1585.65323567059,3584.65323567059
"20","https://www.autoscout24.ch/fr/d/audi-a3-limousine-2004-occasion-10684237","AUDI A3 2.0 FSI Ambiente","",2100,"2004-03-01","Limousine",273648,"Essence","Automatique",150,"Traction avant",7.9,FALSE,"2021-08-09",FALSE,FALSE,"","Aeussere Luzernerstrasse 10, 4665 Oftringen  Kanton Aargau",10684237,"2023-07-08",NA,"Sehr Nett und gute Preise",FALSE,7183,115,51595489,74883227904,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-347.920357478136,2447.92035747814
