web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,description-text,created-date
"1696863144-11","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10862074","VW Golf 2.0 Comfortline","","CHF 700.–","11.2000","Limousine","234'000 km","Essence","Automatique","115 PS (85 kW)","Traction avant","9.3 l/100 km","Non","05.08.2019","Non","Non","","industriestrasse 100, 3178 bösingen","Listing ID: 10862074","","2023-09-16"
"1696863151-12","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-1999-occasion-10585794","VW Golf 1.8 Comfortline 4Motion","","CHF 800.–","03.1999","Limousine","230'000 km","Essence","Boîte manuelle","125 PS (92 kW)","4 roues motrices","9.1 l/100 km","Non","","Non","Non","","Zone industrielle C 69, 1844 Villeneuve","Listing ID: 10585794","Expertisée le 11.04.2019… Climatisation","2023-06-06"
"1696863160-13","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-break-2003-occasion-10755628","VW Golf Variant 2.0","Fahrzeug läuft einwandfrei / Automat / Seitenschaden Siehe Bilder","CHF 800.–","06.2003","Break","237'000 km","Essence","Automatique","115 PS (85 kW)","Traction avant","9.3 l/100 km","Non","09.10.2019","Non","Non","","Unterstrasse, 8734 Ermenswil","Listing ID: 10755628","Vielen Dank für Ihr Interesse an einem unserer Fahrzeuge. 
Für eine Besichtigung Vorort bitte ein Termin vereinbaren. 

Kein Zustandsrapport vorhanden, Fahrzeug wird ab Platz und ohne Garantie verkauft.

Trotz unserer Sorgfalt sind Inserationsfehler nicht auszuschliessen keine Gewähr für Ausstattungsdetails, Irrtümer und Zwischenverkauf vorbehalten.","2023-08-09"
"1696863167-14","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-1999-occasion-10850710","VW Golf 1.8 Comfortline","Roule bien","CHF 800.–","01.1999","Limousine","200'000 km","Essence","Automatique","125 PS (92 kW)","Traction avant","9.3 l/100 km","Non","","Non","Non","","Zone industrielle C 69, 1844 Villeneuve","Listing ID: 10850710","Roule bien","2023-09-12"
"1696863174-15","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-1999-occasion-10864072","VW Golf 1.8 Comfortline 4Motion","Fahrzeug mit Klimaanlage, ist sehr gut fahrbar, fix preis.","CHF 800.–","11.1999","Limousine","268'000 km","Essence","Boîte manuelle","125 PS (92 kW)","4 roues motrices","9.1 l/100 km","Non","17.03.2020","Non","Non","","Grindel 33, 6017 Ruswil","Listing ID: 10864072","Mechanisch ist es sehr gut, Ist sehr gut fahrbar, Optisch bitte siehe Bilder, Serviceheft ist vorhanden, fix preis.","2023-09-17"
"1696863181-16","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-break-2000-occasion-10874409","VW Golf Variant 1.8 20V Comfortline 4Motion","Fahrzeug mit Klimaanlage.","CHF 800.–","03.2000","Break","250'000 km","Essence","Boîte manuelle","125 PS (92 kW)","4 roues motrices","9.1 l/100 km","Non","20.07.2020","Non","Non","","Grindel 33, 6017 Ruswil","Listing ID: 10874409","Mechanisch ist es sehr gut, Optisch bitte siehe Bilder, Serviceheft ist vorhanden, innen muss gereinigt werden.","2023-09-20"
"1696863188-17","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2000-occasion-10904181","VW Golf 1.8 T GTI","","CHF 800.–","11.2000","Limousine","191'350 km","Essence","Boîte manuelle","150 PS (110 kW)","Traction avant","7.8 l/100 km","Non","","Non","Non","","Grenzstrasse 80, 8240 Thayngen","Listing ID: 10904181","","2023-09-30"
"1696863195-18","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2002-occasion-10891608","VW Golf 1.6 16V","","CHF 850.–","04.2002","Limousine","190'000 km","Essence","Boîte manuelle","105 PS (77 kW)","Traction avant","7.1 l/100 km","Non","25.02.2019","Non","Non","","5723 teufentahl ag","Listing ID: 10891608","Auto fahrt sehr gut hat keine bekannte Probleme","2023-09-26"
"1696863204-19","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-break-2008-occasion-10840763","VW Golf Variant 1.9 TDI Comfortline DSG","***Motor startet nicht***","CHF 850.–","01.2008","Break","260'000 km","Diesel","Boîte manuelle automatisée","105 PS (77 kW)","Traction avant","5.3 l/100 km","Non","","Non","Non","","Bösch 63, 6331 Hünenberg","Listing ID: 10840763","Keine technische Prüfung (Werkstatttest) vorgenommen
Diverse Schäden an Karosserie/Lack.
Fahrzeug ist ab Platz, ohne Garantie und Aufbereitung
Batterie fehlt
Startet nicht, Anlasser oder Motor defekt
Fahrzeugausweis ist nicht vorhanden
Fahrzeug ist nur für Teile gedacht.
Heckstossstange und Rücklichter nicht vorhanden. Wurden für einen anderen Golf demontiert.
(KEIN UNFALL)
Abholung innert 3 Tagen","2023-09-08"
"1696863211-20","https://www.autoscout24.ch/fr/voitures/vw--golf?cond=49&make=82&model=585&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/vw-golf-limousine-2001-occasion-10871113","VW Golf 1.6 16V","","CHF 890.–","10.2001","Limousine","226'000 km","Essence","Boîte manuelle","105 PS (77 kW)","Traction avant","7.1 l/100 km","Non","24.06.2020","Non","Non","","Route de la Pisciculture 37, 1700 Fribourg","Listing ID: 10871113","","2023-09-19"
