web-scraper-order,web-scraper-start-url,page,annonce-link,annonce-link-href,title,subtitle,price,date,body-type,kilometers,fuel-type,transmission,power,drivetrain,consumption,expertise,expertise-date,accident,warranty,warranty-details,location,listing-id,created-date,new-price,description-text
"1697999883-11","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2003-occasion-10737101","SKODA Octavia 1.6 Ambiente","","CHF 1'300.–","08.2003","Break","306'000 km","Essence","Boîte manuelle","102 PS (75 kW)","Traction avant","7.2 l/100 km","Non","15.01.2020","Non","Non","","Nordstrasse 1, 7310 Bad Ragaz","Listing ID: 10737101","2023-07-31","Non","Viele Autos. Freundlich und Hilfsbereit Danke"
"1697999896-12","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10912216","SKODA Octavia 2.0 FSI Swiss Adventure 4x4","In einem guten Zustand Motor Getriebe sehr gut Klimaanlage","CHF 1'300.–","08.2006","Break","255'000 km","Essence","Boîte manuelle","150 PS (110 kW)","4 roues motrices","8.9 l/100 km","Non","03.10.2020","Non","Non","","Schachenhof 4, 6014 Luzern","Listing ID: 10912216","2023-10-03","Non","Motor getriebe sehr gut Klimaanlage"
"1697999909-13","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-9875418","SKODA Octavia 2.0 FSI Swiss Adventure 4x4","","CHF 1'400.–","06.2006","Break","209'976 km","Essence","Boîte manuelle","150 PS (110 kW)","4 roues motrices","8.9 l/100 km","Non","29.03.2019","Non","Non","","Bielstrasse 49, 3900 Gamsen","Listing ID: 9875418","2022-11-14","Non","Mechanisch io
Fix preis"
"1697999922-14","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10897517","SKODA Octavia 1.9 TDI Swiss Adventure 4x4","","CHF 1'400.–","01.2006","Break","285'000 km","Diesel","Boîte manuelle","105 PS (77 kW)","4 roues motrices","6 l/100 km","Non","","Non","Non","","Rue du Moulin 71, 3977 Granges vs","Listing ID: 10897517","2023-09-28","Non",""
"1697999935-15","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10940127","SKODA Octavia 1.9 TDI Tour","","CHF 1'450.–","12.2006","Break","250'619 km","Diesel","Boîte manuelle","101 PS (74 kW)","Traction avant","5.2 l/100 km","Non","13.02.2020","Non","Non","","Bodackerstrasse 14, 8953 Dietikon","Listing ID: 10940127","2023-10-13","Non","Im Auftrag/ Kontakt Personen / 076 345 66 66 
Für Export, ab Platz"
"1697999948-16","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10144485","SKODA Octavia 1.9 TDI Tour 4x4","","CHF 1'490.–","05.2006","Break","387'313 km","Diesel","Boîte manuelle","101 PS (74 kW)","4 roues motrices","6.3 l/100 km","Non","08.04.2021","Non","Non","","Westring 9, 5502 Hunzenschwil","Listing ID: 10144485","2023-01-04","Non","Läuft guet
Kupplung defekt"
"1697999961-17","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10750685","SKODA Octavia 2.0 TFSI RS","Auto technisch gut und läuft einwandfrei","CHF 1'500.–","05.2006","Break","236'000 km","Essence","Boîte manuelle","200 PS (147 kW)","Traction avant","7.9 l/100 km","Non","10.11.2021","Non","Non","","Edlibachstrasse 4, 6345 Neuheim","Listing ID: 10750685","2023-08-07","Non","Auto technisch gut und läuft einwandfrei 
Karosserie ist nicht mehr so schön
Winterreifen noch gut, Sommerreifen auf Alufelgen im Kofferraum sind zu ersetzten

Auto Wird ab Platz Verkauft"
"1697999974-18","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2003-occasion-10625442","SKODA Octavia 1.9 TDI Ambiente 4x4","Roule bien.","CHF 1'500.–","07.2003","Break","250'000 km","Diesel","Boîte manuelle","101 PS (74 kW)","4 roues motrices","6.3 l/100 km","Non","17.05.2021","Non","Non","","Zone industrielle C 69, 1844 Villeneuve","Listing ID: 10625442","2023-06-19","Non",""
"1697999987-19","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2006-occasion-10961946","SKODA Octavia 1.9 TDI Tour 4x4","","CHF 1'500.–","09.2006","Break","226'000 km","Diesel","Boîte manuelle","101 PS (74 kW)","4 roues motrices","6.3 l/100 km","Non","12.11.2020","Non","Non","","Märkiweg 3, 5502 Hunzenschwil","Listing ID: 10961946","2023-10-21","Non",""
"1698000000-20","https://www.autoscout24.ch/fr/voitures/skoda--octavia?cond=49&make=71&model=496&sort=price_desc&vehtyp=10","","","https://www.autoscout24.ch/fr/d/skoda-octavia-break-2007-occasion-10946707","SKODA Octavia 2.0 TFSI RS","","CHF 1'500.–","03.2007","Break","282'000 km","Essence","Boîte manuelle","200 PS (147 kW)","Traction avant","7.9 l/100 km","Non","","Non","Non","","Rue du Moulin 71, 3977 Granges vs","Listing ID: 10946707","2023-10-16","Non",""
